ก.	kram0	gram;abbr. for กรัม
เยซูคริสต์	je:0su:0Krit3	Christ
เยอะ	jx3	much;much more
เยอะขึ้น	jx3KWn2	more and more
เยอะแยะ	jx3jE3	many;much
เยาวชน	jaw0wa0Con0	youth;juvenile
เยาวนะ	jaw0wa0na3	northern Thai people
เยาะ	jO3	to jeer
เยาะหยัน	jO3jan4	sarcastic
เยาะเย้ย	jO3jx:j3	to ridicule;to make fun of
เยิน	jx:n0	damaged;broken
เยินยอ	jx:n0jO:0	to praise
เยียงผา	ji:aN0Pa:4	serow
เยียดยัด	ji:at2jat3	to press
เยียวยา	ji:aw0ja:0	to cure;to treat;to heal
เยียวยารักษา	ji:aw0ja:0rak3sa:4	to treat
เยี่ยง	ji:aN2	like;such as
เยี่ยงอย่าง	ji:aN2ja:N1	custom
เยี่ยม	ji:am2	to show;to visit;to stop by;excellent;first-rate;best
เยี่ยมที่สุด	ji:am2Ti:2sut1	excellently
เยี่ยมยอด	ji:am2jO:t2	excellent;wonderful
เยี่ยมเยียน	ji:am2ji:an0	to visit
เยี่ยมเยือน	ji:am2jW:an0	to visit
เยี่ยว	ji:aw2	to urinate
เยือก	jW:ak2	cold
เยือกเย็น	jW:ak2jen0	cool;calm;cold;frozen
เยือง	jW:aN0	serow
เยือน	jW:an0	to visit;to stop by
เยื่อ	jW:a2	tissue;film;membrane;fiber
เยื่อกระดาษ	jW:a2kra0da:t1	pulp
เยื่อเคย	jW:a2Kx:j0	shrimp paste
เยื่อใย	jW:a2jaj0	relationship;bond;tie;attachment;lingering sentiment
เยื้องกราย	jW:aN3kra:j0	to swagger
เยื้องท่า	jW:aN3Ta:2	to crane the neck
เยื้องยัก	jW:aN3jak3	to evade
เยื้องย่าง	jW:aN3ja:N2	to sail;to swagger;to walk slowly with an air
เย็ด	jet3	to engage in sexual intercourse
เย็น	jen0	evening;dusk;cool;cold;frozen
เย็นฉ่ำ	jen0Cam1	very cold;icy;frosty
เย็นชา	jen0Ca:0	to pay no attention
เย็นยะเยือก	jen0ja0jW:ak2	to shiver
เย็นย่ำ	jen0jam2	dusk
เย็นสบาย	jen0sa0ba:j0	cool;not too hot or too cold
เย็นเจี๊ยบ	jen0ci:ap3	very cold;icy;frosty
เย็นเฉียบ	jen0Ci:ap1	very cold
เย็บ	jep3	stitch
เย็บด้น	jep3don2	to run a seam
เย็บปก	jep3pok1	to bind book
เย็บปักถักร้อย	jep3pak1Tak1rO:j3	to do needlework;to embroider;embroidery;needlework;sewing
เย็บปาก	jep3pa:k1	to keep quiet
เย็บผ้า	jep3Pa:2	to do needlework
เย็บเล่ม	jep3lem2	to do pagemaking for a book
เย่อหยิ่ง	jx:2jiN1	arrogant
เย้	je:3	to cripple
เย้ย	jx:j3	mockingly
เย้ยหยัน	jx:j3jan4	mockingly;to ridicule;to make fun of
เย้ยเยาะ	jx:j3jO3	to jeer
เย้า	jaw3	name of hilltribe in northern Thailand;to tease
เย้ายวน	jaw3ju:an0	sexy
เย้ายวนใจ	jaw3ju:an0caj0	to seduce;to attract
เย้าหยอก	jaw3jO:k1	to tease
เย้าแหย่	jaw3jE:1	to tease
เรขา	re:0Ka:4	beautiful (as a picture);to write;to draw
เรขาคณิต	re:0Ka:4Ka0nit3	geometry
เรขาคณิตบริสุทธิ์	re:0Ka:4Ka0nit3bO:0ri0sut1	pure geometry
เรขาคณิตวิเคราะห์	re:0Ka:4Ka0nit3wi3KrO3	analytic geometry
เรณู	re:0nu:0	pollen
เรดอน	re:0dO:n0	radon
เรดาร์	re:0da:3	radar
เรตินา	re:0ti1na:0	retina
เรรวน	re:0ru:an0	uncertain;to hesitate
เรวดี	re:0wa0di:0	the 27th constellation containing 16 stars
เรอ	rx:0	to belch;to retch;to eruct
เรา	raw0	(pronoun) you;(pronoun) I;(pronoun) we
เราะ	rO3	bamboo strips stitched together for enclosing fish;to walk along;to crack;to break off;to knock off
เราะร้าย	rO3ra:j3	to speak rudely
เริงรมย์	rx:N0rom0	entertaining;amusing;pleasing
เริงรื่น	rx:N0rW:n2	happy;cheerful
เริงร่า	rx:N0ra:2	to enjoy;cheerful;happy
เริงโลกีย์	rx:N0lo:0ki:0	to commit a homosexuality with a man
เริงโลดใจ	rx:N0lo:t2caj0	elated
เริงใจ	rx:N0caj0	joyful;cheerful
เริด	rx:t2	to part;to abandon;unfinished;abandoned half-way;smart;beautiful;elegant
เริดร้าง	rx:t2ra:N3	to leave;to abandon;to part;to separate
เริม	rx:m0	herpes
เริศร้าง	rx:t2ra:N3	to stay away;to part
เริ่ด	rx:t2	prominent
เริ่ม	rx:m2	to begin
เริ่มกิจการ	rx:m2kit1ca0ka:n0	to start;to establish;to found
เริ่มขึ้น	rx:m2KWn2	to happen
เริ่มต้น	rx:m2ton2	to start;initial;first;introductory
เริ่มต้นใหม่	rx:m2ton2maj1	to restart
เริ่มทำ	rx:m2Tam0	to begin
เริ่มประชุม	rx:m2pra0Cum0	to hold
เริ่มมี	rx:m2mi:0	to start
เริ่มยืน	rx:m2jW:n0	to train an infant to stand
เริ่มหัด	rx:m2hat1	to begin to do or learn sth
เริ่มเดินทาง	rx:m2dx:n0Ta:N0	to depart
เริ่มแรก	rx:m2rE:k2	at first;first;initial;primary;original
เริ่มใหม่	rx:m2maj1	to restart
เรียก	ri:ak2	to call;to shout
เรียกขวัญ	ri:ak2Kwan4	to comfort;to soothe
เรียกคืน	ri:ak2KW:n0	to revoke;to request the return of sth;to retrieve
เรียกค่าเสียหาย	ri:ak2Ka:2si:a4ha:j4	to recover damage
เรียกชื่อ	ri:ak2CW:2	called;to make a roll call
เรียกตัว	ri:ak2tu:a0	to summon;to call sb to come
เรียกรหัส	ri:ak2ra0hat1	to call sb by signals
เรียกร้อง	ri:ak2rO:N3	to demand
เรียกร้องค่าเสียหาย	ri:ak2rO:N3Ka:2si:a4ha:j4	to recover damage
เรียกร้องหา	ri:ak2rO:N3ha:4	to yearn
เรียกหา	ri:ak2ha:4	to ask for
เรียกเก็บ	ri:ak2kep1	to levy
เรียกเนื้อ	ri:ak2nW:a3	to cause a wound to heal
เรียกเอา	ri:ak2aw0	to press the claim
เรียง	ri:aN0	to arrange;to put in order;to organize
เรียงความ	ri:aN0Kwa:m0	composition;essay;to compose
เรียงคู่กันไป	ri:aN0Ku:2kan0paj0	parallel
เรียงตัว	ri:aN0tu:a0	one by one
เรียงพิมพ์	ri:aN0Pim0	to typeset
เรียงพี่เรียงน้อง	ri:aN0Pi:2ri:aN0nO:N3	to arrange in order of age (as brothers and sisters)
เรียงรัน	ri:aN0ran0	to put sth in order
เรียงราย	ri:aN0ra:j0	orderly;well-arranged
เรียงร้อย	ri:aN0rO:j3	to compose
เรียงลำดับ	ri:aN0lam0dap1	to arrange
เรียงหน้า	ri:aN0na:2	one by one
เรียงหน้ากระดาน	ri:aN0na:2kra0da:n0	abreast
เรียงหมอน	ri:aN0mO:n4	name of lunar day which is believed that it is the good day for a man and a woman to start their married life
เรียงเบอร์	ri:aN0bx:0	list of lottery results
เรียงแถว	ri:aN0TE:w4	to stand in line
เรียด	ri:at2	to skim;in a row;equal
เรียน	ri:an0	to learn;to study;to inform;to report;salutation of a letter as a conventional greeting
เรียนจบ	ri:an0cop1	to graduate
เรียนต่อ	ri:an0tO:1	to study further
เรียนถาม	ri:an0Ta:m4	to ask;to question
เรียนพิเศษ	ri:an0Pi3se:t1	to take an extra tutorial class
เรียนรู้	ri:an0ru:3	to study;to learn
เรียนหนังสือ	ri:an0naN3sW:4	to study;to learn
เรียนเชิญ	ri:an0Cx:n0	to invite
เรียบ	ri:ap2	with nothing left;completely;smooth;even;level
เรียบง่าย	ri:ap2Na:j2	unambitiously
เรียบร้อย	ri:ap2rO:j3	polite;orderly
เรียบร้อยงดงาม	ri:ap2rO:j3Not3Na:m0	fine;beautiful
เรียบวุธ	ri:ap2wut3	all gone;without nothing left;to order arms
เรียบเรียง	ri:ap2ri:aN0	to arrange;to put in order;to compile;to write
เรียบ ๆ	ri:ap2ri:ap2	commonly;ordinarily
เรียว	ri:aw0	to stay ropes for sail;tapering;slender;fine
เรียวยาว	ri:aw0ja:w0	tapering
เรียวหนาม	ri:aw0na:m4	thorny tip of a bamboo stalk
เรี่ยม	ri:am2	clean
เรี่ยมเร้เรไร	ri:am2rE:3re:0raj0	brand-new
เรี่ยราด	ri:a2ra:t2	scatteringly
เรี่ยราย	ri:a2ra:j0	to scatter here and there
เรี่ยว	ri:aw2	power;energy;strong current of water (as rivers)
เรี่ยวแรง	ri:aw2rE:N0	strength;power;energy
เรี่ยไร	ri:a2raj0	to collect;to raise funds;to solicit
เรี้ยวรก	ri:aw3rok3	disorderly;untidy;cluttered
เรือ	rW:a0	rook;boat;ship
เรือก	rW:ak2	strips of wood tied together by rattan used for flooring;floor mat
เรือกลไฟ	rW:a0kon0faj0	steamer;steamship
เรือกสวน	rW:ak2su:an4	cultivated land;plantation;orchard
เรือกสวนไร่นา	rW:ak2su:an4raj2na:0	farm
เรือกำปั่น	rW:a0kam0pan1	ship
เรือขนส่งสินค้า	rW:a0Kon4soN1sin4Ka:3	break-bulk carrier;general cargo ship
เรือขนาน	rW:a0Ka0na:n4	parallel state barge
เรือข้ามฟาก	rW:a0Ka:m2fa:k2	harbor;ferry
เรือง	rW:aN0	to study deeply;shining;bright
เรืองนาม	rW:aN0na:m0	famous
เรืองรอง	rW:aN0rO:N0	brightly
เรืองอำนาจ	rW:aN0am0na:t2	in power
เรืองแสง	rW:aN0sE:N4	fluorescent;bright
เรือง ๆ	rW:aN0rW:aN0	glowing
เรือจ้าง	rW:a0ca:N2	taxi-boat;ferry
เรือชูชีพ	rW:a0Cu:0Ci:p2	lifeboat
เรือด	rW:at2	bedbug
เรือดำน้ำ	rW:a0dam0na:m3	submarine
เรือดไม้	rW:at2ma:j3	bamboo bug
เรือตรี	rW:a0tri:0	Sub-Lieutenant
เรือตะเภา	rW:a0ta0Paw0	argosy
เรือตังเก	rW:a0taN0ke:0	fishing boat
เรือต้น	rW:a0ton2	royal yacht
เรือท้องแบน	rW:a0TO:N3bE:n0	landing craft
เรือธง	rW:a0ToN0	flagship
เรือน	rW:an0	bezel of a ring;house;building;classifier for clocks
เรือนกระจก	rW:an0kra0cok1	glass house
เรือนกล้วยไม้	rW:an0klu:aj2ma:j3	orchid house
เรือนจำ	rW:an0cam0	prison
เรือนตะเกียง	rW:an0ta0ki:aN0	lighthouse
เรือนธาตุ	rW:an0Ta:t2	important part of a stupa
เรือนรับรอง	rW:an0rap3rO:N0	guesthouse
เรือนร่าง	rW:an0ra:N2	body;figure
เรือนหลวง	rW:an0lu:aN4	palace
เรือนหอ	rW:an0hO:4	home for newly wedding couple;bridal house
เรือนแถว	rW:an0TE:w4	row house
เรือนแฝด	rW:an0fE:t1	house built in parallel
เรือนแพ	rW:an0PE:0	houseboat
เรือนไฟ	rW:an0faj0	kitchen;lighthouse;building for ceremony of fire;lamp;lantern;size of fire in a lamp or lantern
เรือบิน	rW:a0bin0	airplane
เรือประมง	rW:a0pra0moN0	fishing boat
เรือพระที่นั่ง	rW:a0Pra0Ti:2naN2	royal yacht
เรือพาย	rW:a0Pa:j0	row boat
เรือพ่วง	rW:a0Pu:aN2	boat pulled by a tugboat;son;daughter
เรือยนต์	rW:a0jon0	motor ship
เรือรบ	rW:a0rop3	warship
เรือรบหลวง	rW:a0rop3lu:aN4	His Majesty's Ship
เรือสะเภา	rW:a0sa0Paw0	argosy
เรือสำปั้น	rW:a0sam4pan2	sampan
เรือสำเภา	rW:a0sam4Paw0	junk
เรือหางยาว	rW:a0ha:N4ja:w0	long-tailed boat
เรือหาปลา	rW:a0ha:4pla:0	fishing boat
เรืออากาศตรี	rW:a0a:0ka:t1tri:0	Pilot Officer
เรืออากาศเอก	rW:a0a:0ka:t1e:k1	Flight Lieutenant
เรืออากาศโท	rW:a0a:0ka:t1To:0	Flying Officer
เรือเดินสมุทร	rW:a0dx:n0sa0mut1	ocean liner;passenger liner
เรือเหาะ	rW:a0hO1	glider
เรือเอก	rW:a0e:k1	Lieutenant
เรือแจว	rW:a0cE:w0	paddling boat
เรือแพ	rW:a0PE:0	raft
เรือโกลน	rW:a0klo:n0	dugout boat
เรือโท	rW:a0To:0	Lieutenant Junior Grade
เรือโป๊ะจ้าย	rW:a0po3ca:j2	barge
เรือโยง	rW:a0jo:N0	tugboat
เรือโอ่	rW:a0o:1	kind of small boat
เรือใบ	rW:a0baj0	sailboat;yacht
เรือใบแข็ง	rW:a0baj0KEN4	mat sail
เรือไฟ	rW:a0faj0	steamer;steamboat
เรื่อ	rW:a2	pale;faded
เรื่อง	rW:aN2	item;subject matter;story;trouble;problem
เรื่องกล้วย ๆ	rW:aN2klu:aj2klu:aj2	trifle
เรื่องขบขัน	rW:aN2Kop1Kan4	comic story;funny story;joke
เรื่องขำขัน	rW:aN2Kam4Kan4	comic story
เรื่องขี้ประติ๋ว	rW:aN2Ki:2pra0tiw4	trifle
เรื่องขี้ผง	rW:aN2Ki:2PoN4	trifle
เรื่องง่าย ๆ	rW:aN2Na:j2Na:j2	trifle
เรื่องจริง	rW:aN2ciN0	fact
เรื่องจำเป็น	rW:aN2cam0pen0	case of necessity
เรื่องจิ๊บจ๊อย	rW:aN2cip3cOj3	trifle
เรื่องฉาวโฉ่	rW:aN2Ca:w4Co:1	scandal
เรื่องฉุกเฉิน	rW:aN2Cuk1Cx:n4	emergency;necessity;difficulty
เรื่องซ้ำรอย	rW:aN2sam3rO:j0	rehappened history
เรื่องดีงาม	rW:aN2di:0Na:m0	good
เรื่องด่วน	rW:aN2du:an1	urgency;necessity
เรื่องตลก	rW:aN2ta0lok1	joke
เรื่องต้องห้าม	rW:aN2tON2ha:m2	prohibition
เรื่องธรรมดา	rW:aN2Tam0ma0da:0	ordinary
เรื่องบันเทิง	rW:aN2ban0Tx:N0	entertainment;leisure activity;enjoyment
เรื่องปกติ	rW:aN2pa0ka0ti1	ordinary
เรื่องประกอบ	rW:aN2pra0kO:p1	unimportant matter
เรื่องผิดปกติ	rW:aN2Pit1pa0ka0ti1	abnormality
เรื่องย่อ	rW:aN2jO:2	synopsis;summary
เรื่องราชการ	rW:aN2ra:t2Ca0ka:n0	official issue
เรื่องราว	rW:aN2ra:w0	story
เรื่องลึกลับ	rW:aN2lWk3lap3	mysterious story
เรื่องสนุก	rW:aN2sa0nuk1	entertainment
เรื่องสั้น	rW:aN2san2	short story
เรื่องสำคัญ	rW:aN2sam4Kan0	important matter;serious matter
เรื่องสุดวิสัย	rW:aN2sut1wi3saj4	impossibility
เรื่องส่วนตัว	rW:aN2su:an1tu:a0	private matter
เรื่องส่วนบุคคล	rW:aN2su:an1buk1Kon0	private matter
เรื่องหมู ๆ	rW:aN2mu:4mu:4	trifle
เรื่องหยุมหยิม	rW:aN2jum4jim4	trifles
เรื่องอื้อฉาว	rW:aN2W:2Ca:w4	scandal
เรื่องเก่าแก่	rW:aN2kaw1kE:1	old story
เรื่องเฉพาะบุคคล	rW:aN2Ca0PO3buk1Kon0	private matter
เรื่องเดิม	rW:aN2dx:m0	source
เรื่องเบาสมอง	rW:aN2baw0sa0mO:N4	light matter;relaxed matter
เรื่องเบ็ดเตล็ด	rW:aN2bet1ta0let1	detail
เรื่องเร่งด่วน	rW:aN2reN2du:an1	emergency
เรื่องเลวร้าย	rW:aN2le:w0ra:j3	badness
เรื่องเล็ก	rW:aN2lek3	trifle;trivial matter
เรื่องเล็กน้อย	rW:aN2lek3nO:j3	trifles
เรื่องเล่า	rW:aN2law2	story
เรื่องเศร้า	rW:aN2saw2	tragedy
เรื่องเสียหาย	rW:aN2si:a4ha:j4	harm;damage
เรื่องเสื่อมเสีย	rW:aN2sW:am1si:a4	harm
เรื่องเหลือเชื่อ	rW:aN2lW:a4CW:a2	incredibility
เรื่องแปลกใหม่	rW:aN2plE:k1maj1	new matter
เรื่องโศกเศร้า	rW:aN2so:k1saw2	tragedy
เรื่องใหญ่	rW:aN2jaj1	important event;major event
เรื่องไม่สำคัญ	rW:aN2maj2sam4Kan0	trivial matter
เรื่องไร้สาระ	rW:aN2raj3sa:4ra3	trivial matter;nonsense
เรื่อย	rW:aj2	always;continuously;often
เรื่อยเจื้อย	rW:aj2cW:aj2	endlessly
เรื่อยเฉื่อย	rW:aj2CW:aj1	unhurriedly;leisurely
เรื่อยเปื่อย	rW:aj2pW:aj1	continuously and aimlessly
เรื่อยไป	rW:aj2paj0	continuously;always
เรื่อย ๆ ไป	rW:aj2rW:aj2paj0	often
เรื่อย ๆ	rW:aj2rW:aj2	slowly;unhurriedly
เรื่อ ๆ	rW:a2rW:a2	indistinctly
เรื้อ	rW:a3	to neglect;overgrown
เรื้อน	rW:an3	leprosy
เรื้อนกวาง	rW:an3kwa:N0	eczema
เรื้อรัง	rW:a3raN0	chronic;prolonged;recurrent
เรเดียน	re:0di:an2	radian
เรเดียม	re:0di:am2	radium
เร็ว	rew0	fast;suddenly;immediately;unexpectedly
เร็วจี๋	rew0ci:4	very fast
เร็วทันใจ	rew0Tan0caj0	fast
เร็วนี้ ๆ	rew0ni:3rew0ni:3	soon
เร็วมาก	rew0ma:k2	quickly
เร็วไว	rew0waj0	quickly;fast
เร็ว ๆ นี้	rew0rew0ni:3	soon
เร็ว ๆ	rew0rew0	fast
เร็ว ๆ เข้า	rew0rew0Kaw2	to come on
เร่	re:2	to go straight in;to wander;to peddle
เร่ขาย	re:2Ka:j4	to peddle
เร่ง	reN2	to hasten
เร่งด่วน	reN2du:an1	emergency
เร่งฝีเท้า	reN2fi:4Taw3	to quicken one's pace
เร่งมือ	reN2mW:0	to speed up work;to hasten
เร่งรัด	reN2rat3	to rush;to accelerate
เร่งรีบ	reN2ri:p2	to hurry;hurriedly
เร่งรุด	reN2rut3	to rush;to hurry
เร่งร้อน	reN2rO:n3	to hurry;to rush;urgent
เร่งเครื่อง	reN2KrW:aN2	to go faster
เร่งเร้า	reN2raw3	to urge
เร่ร่อน	re:2rOn2	aimlessly
เร่ร่าย	re:2ra:j2	to wander
เร่อร่า	rx:2ra:2	old-fashioned;outdated;clumsily
เร่า	raw2	repeatedly;tremblingly
เร่าร้อน	raw2rO:n3	worried
เร่าร้อนใจ	raw2rO:n3caj0	to fidget
เร่า ๆ	raw2raw2	wrigglingly
เร้น	re:n3	to hide
เร้นลับ	re:n3lap3	mysterious;secret
เร้า	raw3	to urge;to stimulate;to provoke
เร้าอารมณ์	raw3a:0rom0	to arouse;to stimulate
เร้าใจ	raw3caj0	stimulating;arousing;encouraging;excitedly;enthusiastically
เลกวัด	le:k2wat3	man who dedicates his life to the service of a monastery
เลข	le:k2	number;mathematics
เลขกล	le:k2kon0	magic number
เลขคณิต	le:k2Ka0nit3	arithmetic
เลขคี่	le:k2Ki:2	odd number
เลขคู่	le:k2Ku:2	even number
เลขจำนวน	le:k2cam0nu:an0	number
เลขจำนวนเต็ม	le:k2cam0nu:an0tem0	integer
เลขชี้กำลัง	le:k2Ci:3kam0laN0	exponent
เลขฐานสอง	le:k2Ta:n4sO:N4	binary digit
เลขฐานสิบ	le:k2Ta:n4sip1	digit
เลขดัชนี	le:k2dat1Ca0ni:0	index number
เลขท้าย	le:k2Ta:j3	end number
เลขประจำตัว	le:k2pra0cam0tu:a0	identification number
เลขฝรั่ง	le:k2fa0raN1	Arabic numerals
เลขยกกำลัง	le:k2jok3kam0laN0	logarithm
เลขยันต์	le:k2jan0	occult number;figures used in cabalistic signs
เลขลำดับ	le:k2lam0dap1	ordinal number
เลขหน้า	le:k2na:2	page number
เลขหมาย	le:k2ma:j4	number
เลขหลักหน่วย	le:k2lak1nu:aj1	last digit
เลขอนุกรม	le:k2a0nu3krom0	alphabetical order
เลขอารบิค	le:k2a:0ra0bik1	Arabic numerals
เลขา	le:0Ka:4	writing;drawing;design;pattern;secretary
เลขานุการ	le:0Ka:4nu3ka:n0	secretary
เลขานุการิณี	le:0Ka:4nu3ka:0ri3ni:0	secretary
เลขเด็ด	le:k2det1	lucky number
เลขโดด	le:k2do:t1	digit
เลขโรมัน	le:k2ro:0man0	Roman numerals
เลน	le:n0	mud
เลนส์	le:n0	lens
เลนส์ตีบแสง	le:n0ti:p1sE:N4	convex lens;convergent lens
เลนส์ถ่างแสง	le:n0Ta:N1sE:N4	concave lens;divergent lens
เลนส์นูน	le:n0nu:n0	convex lens;convergent lens
เลนส์สัมผัส	le:n0sam4Pat1	contact lens
เลนส์เว้า	le:n0waw3	divergent lens;concave lens
เลย	lx:j0	to pass;to go through;really;obliged to;completely;Loei province
เลยกำหนด	lx:j0kam0not1	overdue;late
เลยขอบเขต	lx:j0KO:p1Ke:t1	over the limit
เลยตามเลย	lx:j0ta:m0lx:j0	bygone
เลยลับ	lx:j0lap3	to move past
เลยสมัย	lx:j0sa0maj4	out of date
เลยหัว	lx:j0hu:a4	to overflow the head
เลยเถิด	lx:j0Tx:t1	excessively
เลยเวลา	lx:j0we:0la:0	overdue;late
เลยไป	lx:j0paj0	to pass by
เลว	le:w0	bad;evil;wicked
เลวทราม	le:w0sa:m0	bad;evil;wicked
เลวทรามต่ำช้า	le:w0sa:m0tam1Ca:3	bad;evil;wicked
เลวมาก	le:w0ma:k2	wicked
เลวร้าย	le:w0ra:j3	bad;evil;wicked
เลวูโลส	le:0wu:0lo:t2	fructose
เลศ	le:t2	artifice;trick
เลศนัย	le:t2sa0naj0	hidden motive;artifice
เลหลัง	le:0laN4	cheap;to auction
เลห์กล	le:0kon0	trick
เลอะ	lx3	dirty;messy;to make a mess
เลอะเทอะ	lx3Tx3	stained;dirty;spotted
เลอะเทอะเปรอะเปื้อน	lx3Tx3prx1pW:an2	stained
เลอะเลือน	lx3lW:an0	blurred;unclear;confused
เลอเลิศ	lx:0lx:t2	excellent;outstanding;superior
เละ	le3	soft;pulpy;mushy;soggy;sloppy
เละเทะ	le3Te3	dirty;untidy;soggy;to disorder
เละไม่เป็นท่า	le3maj2pen0Ta:2	to disorder
เลาะ	lO3	to remove
เลา ๆ	law0law0	roughly;approximately
เลิก	lx:k2	to stop;to give up;to separate;to break up;to open;to raise
เลิกกัน	lx:k2kan0	to terminate (the relationship)
เลิกกิจการ	lx:k2kit1ca0ka:n0	to go out of business
เลิกคบ	lx:k2Kop3	to break relations
เลิกจ้าง	lx:k2ca:N2	to lay off
เลิกนม	lx:k2nom0	to wean
เลิกผ้า	lx:k2Pa:2	to strip off
เลิกรบ	lx:k2rop3	to cease fighting
เลิกรา	lx:k2ra:0	separated
เลิกร้าง	lx:k2ra:N3	to give up;to abandon;to divorce
เลิกลั่ก	lxk2lak2	bewildered;unnatural;suspicious
เลิกล้ม	lx:k2lom3	to drop
เลิกว่าจ้าง	lx:k2wa:2ca:N2	to lay off
เลิกเหล้า	lx:k2law2	to abstain from liquors
เลินเล่อ	lx:n0lx:2	careless;negligent
เลิศ	lx:t2	excellent;wonderful
เลิศยิ่ง	lx:t2jiN2	excellent
เลิศลอย	lx:t2lO:j0	lofty
เลิศล้ำ	lx:t2lam3	superior
เลิศวิไล	lx:t2wi3laj0	to become pretty
เลิศหรู	lx:t2ru:4	magnificent;luxurious;splendid
เลิศเลอ	lx:t2lx:0	superb;splendid;excellent
เลียง	li:aN0	kind of Thai vegetable curry
เลียงผา	li:aN0Pa:4	serow
เลียนแบบ	li:an0bE:p1	to copy;to imitate
เลียบ	li:ap2	species of tree;Ficus insectica;to skirt;to walk along the edge of
เลียบค่าย	li:ap2Ka:j2	to patrol round the barracks;to inspect a camp
เลียบเคียง	li:ap2Ki:aN0	to approach;to make an overture
เลียบเมือง	li:ap2mW:aN0	to go in procession around the city;to skirt a city;to follow a city wall
เลียบ ๆ เคียง ๆ	li:ap2li:ap2Ki:aN0Ki:aN0	to approach
เลียแข้ง	li:a0KEN2	to flatter
เลียแข้งเลียขา	li:a0KEN2li:a0Ka:4	to flatter
เลี่ยง	li:aN2	to avoid
เลี่ยงทาง	li:aN2Ta:N0	to give way
เลี่ยงภาษี	li:aN2Pa:0si:4	smuggled
เลี่ยน	li:an2	oily;greasy;smooth;flat;even;level
เลี้ยง	li:aN3	to celebrate
เลี้ยงข้าว	li:aN3Ka:w2	to feast
เลี้ยงง่าย	li:aN3Na:j2	docile
เลี้ยงชีพ	li:aN3Ci:p2	to live;to make a living
เลี้ยงชีวิต	li:aN3Ci:0wit3	to support life
เลี้ยงดู	li:aN3du:0	to give a feast;to foster;to take care of;to support
เลี้ยงดูปูเสื่อ	li:aN3du:0pu:0sW:a1	to entertain warmly;to entertain with food and women
เลี้ยงต้อนรับ	li:aN3tO:n2rap3	to give a welcome party
เลี้ยงต้อย	li:aN3tOj2	to raise sb since childhood;to rear a child to get married to him/her when he/she grows up
เลี้ยงปากเลี้ยงท้อง	li:aN3pa:k1li:aN3TO:N3	to make a living
เลี้ยงผี	li:aN3Pi:4	to offer sacrifices to a spirit
เลี้ยงรับ	li:aN3rap3	to give a welcome party
เลี้ยงลา	li:aN3la:0	to give a farewell party
เลี้ยงลูก	li:aN3lu:k2	to dribble
เลี้ยงส่ง	li:aN3soN1	to give a farewell party
เลี้ยงอำลา	li:aN3am0la:0	to give a farewell party
เลี้ยงแขก	li:aN3KE:k1	to feast;to give a party
เลี้ยงโต๊ะ	li:aN3to3	to feast;to give a party
เลี้ยงโต๊ะจีน	li:aN3to3ci:n0	to entertain guests with Chinese dishes
เลี้ยว	li:aw3	to turn;to wheel;to change course;to veer
เลี้ยวขวา	li:aw3Kwa:4	to turn right
เลี้ยวซ้าย	li:aw3sa:j3	to turn left
เลี้ยวลด	li:aw3lot3	winding;zigzag;to meander;to wind
เลี้ยวไปเลี้ยวมา	li:aw3paj0li:aw3ma:0	zigzag
เลือก	lW:ak2	to choose
เลือกคัด	lW:ak2Kat3	to choose
เลือกคู่	lW:ak2Ku:2	to find a mate
เลือกตั้ง	lW:ak2taN2	to vote
เลือกตั้งซ่อม	lW:ak2taN2sOm2	to re-elect
เลือกมาบางส่วน	lW:ak2ma:0ba:N0su:an1	to extract
เลือกสรร	lW:ak2san4	to select
เลือกสุ่ม	lW:ak2sum1	to choose at random
เลือกหา	lW:ak2ha:4	to choose
เลือกออก	lW:ak2O:k1	to sort out
เลือกเฟ้น	lW:ak2fe:n3	to choose
เลือด	lW:at2	blood;descent;lineage;blood relation
เลือดกำเดา	lW:at2kam0daw0	nosebleed
เลือดตกใน	lW:at2tok1naj0	to flow inside
เลือดตาแทบกระเด็น	lW:at2ta:0TE:p2kra0den0	with greatest trouble
เลือดนก	lW:at2nok3	red
เลือดฝาด	lW:at2fa:t1	healthy complexion;rosy complexion
เลือดร้อน	lW:at2rO:n3	hot-tempered;impetuous
เลือดออกข้างใน	lW:at2O:k1Ka:N2naj0	to flow inside
เลือดอุ่น	lW:at2un1	warm-blooded
เลือดเนื้อ	lW:at2nW:a3	flesh and flood;one's own offspring
เลือดเนื้อเชื้อไข	lW:at2nW:a3CW:a3Kaj4	flesh and blood;offspring
เลือดเย็น	lW:at2jen0	cold-hearted;cruel;merciless
เลือดแดง	lW:at2dE:N0	arterial blood
เลือดไม้	lW:at2ma:j3	bamboo bug
เลือดไหลข้างใน	lW:at2laj4Ka:N2naj0	to flow inside
เลือน	lW:an0	blurred;dim;indistinct;unclear
เลือนตา	lW:an0ta:0	to deceive the eyes
เลือนราง	lW:an0ra:N0	dim;vague;indistinct
เลือนลับ	lW:an0lap3	to fade
เลือนลาง	lW:an0la:N0	to fade away;vague;dim;indistinct;obscure
เลื่อง	lW:aN2	to rumor
เลื่องชื่อ	lW:aN2CW:2	famous
เลื่องลือ	lW:aN2lW:0	celebrated
เลื่อน	lW:an2	to move up
เลื่อนขั้น	lW:an2Kan2	to promote;to elevate;to upgrade;to raise
เลื่อนขึ้น	lW:an2KWn2	to elevate
